🌍 港台,#genre#
凤凰中文,http://A/PLTV/ku9/js/fhshow.js?id=fhzw
凤凰资讯,http://A/PLTV/ku9/js/fhshow.js?id=fhzx
凤凰香港,http://A/PLTV/ku9/js/fhshow.js?id=fhhk


FashionTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
FashionTV,http://lb.streaming.sk/fashiontv/stream/playlist.m3u8
FashionTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8?zshijd
FashionTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1906011378.m3u8
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
公视,rtmp://f13h.mine.nu/sat/tv771
民视,rtmp://f13h.mine.nu/sat/tv051
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
台视,rtmp://f13h.mine.nu/sat/tv071
东森超视,rtmp://f13h.mine.nu/sat/tv331
momoTV,rtmp://f13h.mine.nu/sat/tv761
DAZN体育1,rtmp://f13h.mine.nu/sat/tv731
DAZN体育2,rtmp://f13h.mine.nu/sat/tv741
新加坡亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
新加坡亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
环球电视台,http://utv1.hqtvzb.com:9999/hls/world.m3u8
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
CEC汉语文化,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8
CEC国际旅游,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
CEC国际教育,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
CEC国际健康,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8


(日照),#genre#
日照综合,http://10.26.0.123:4000/udp/239.253.224.254:8000
日照科教,http://10.26.0.123:4000/udp/239.253.224.253:8000
日照公共,http://10.26.0.123:4000/udp/239.253.224.250:8000
岚山,http://10.26.0.123:4000/udp/239.253.224.252:8000
莒县,http://10.26.0.123:4000/udp/239.253.224.251:8000
莒县,http://A/PLTV/ku9/js/qilu.js?id=rzjx1
莒县2,http://A/PLTV/ku9/js/qilu.js?id=rzjx2
岚山,http://A/PLTV/ku9/js/qilu.js?id=rzls
五莲,http://A/PLTV/ku9/js/qilu.js?id=rzwlzh
五莲文化旅游,http://A/PLTV/ku9/js/qilu.js?id=rzwlwh

(烟台),#genre#
招远,http://A/PLTV/ku9/js/qilu.js?id=ytzyzh
招远综艺,http://A/PLTV/ku9/js/qilu.js?id=ytzyzy
龙口,http://A/PLTV/ku9/js/qilu.js?id=ytlkzh
龙口生活,http://A/PLTV/ku9/js/qilu.js?id=ytlksh
蓬莱,http://A/PLTV/ku9/js/qilu.js?id=ytplzh
蓬莱综艺,http://A/PLTV/ku9/js/qilu.js?id=ytplzy
长岛,http://A/PLTV/ku9/js/qilu.js?id=ytcd
莱州,http://A/PLTV/ku9/js/qilu.js?id=ytlzzh
莱山,http://A/PLTV/ku9/js/qilu.js?id=ytlszh
莱山影视,http://A/PLTV/ku9/js/qilu.js?id=ytlsys
莱阳,http://A/PLTV/ku9/js/qilu.js?id=ytlyzh
莱阳民生综艺,http://A/PLTV/ku9/js/qilu.js?id=ytlyms
海阳,http://A/PLTV/ku9/js/qilu.js?id=ythyzh
栖霞,http://A/PLTV/ku9/js/qilu.js?id=ytqxzh
栖霞苹果,http://A/PLTV/ku9/js/qilu.js?id=ytqxpg
福山,http://A/PLTV/ku9/js/qilu.js?id=ytfszh
福山生活,http://A/PLTV/ku9/js/qilu.js?id=ytfssh
牟平,http://A/PLTV/ku9/js/qilu.js?id=ytmpzh

(济南),#genre#
济南新闻综合,http://A/ku9/js/jinan.js?id=1676
济南生活,http://A/ku9/js/jinan.js?id=1855
济南都市,http://A/ku9/js/jinan.js?id=1807
济南文旅体育,http://A/ku9/js/jinan.js?id=1842
济南少儿,http://A/ku9/js/jinan.js?id=2234
济南鲁中,http://A/ku9/js/jinan.js?id=1857
长清,http://A/PLTV/ku9/js/qilu.js?id=jncqxw
长清生活,http://A/PLTV/ku9/js/qilu.js?id=jncqsh
济铁,http://A/PLTV/ku9/js/qilu.js?id=jnjrtv
济阳,http://A/PLTV/ku9/js/qilu.js?id=jnjyzh
济阳影视,http://A/PLTV/ku9/js/qilu.js?id=jnjyys
历城,http://A/PLTV/ku9/js/qilu.js?id=jnlcxw
平阴,http://A/PLTV/ku9/js/qilu.js?id=jnpyzh
平阴乡村振兴,http://A/PLTV/ku9/js/qilu.js?id=jnpyxc
商河,http://A/PLTV/ku9/js/qilu.js?id=jnshzh
商河影视,http://A/PLTV/ku9/js/qilu.js?id=jnshys
章丘,http://A/PLTV/ku9/js/qilu.js?id=jnzqzh
章丘公共,http://A/PLTV/ku9/js/qilu.js?id=jnzqgg

(青岛),#genre#
黄岛,http://A/PLTV/ku9/js/qilu.js?id=qdhdzh
黄岛生活,http://A/PLTV/ku9/js/qilu.js?id=qdhdsh
即墨,http://A/PLTV/ku9/js/qilu.js?id=qdjmzh
即墨生活服务,http://A/PLTV/ku9/js/qilu.js?id=qdjmsh
胶州,http://A/PLTV/ku9/js/qilu.js?id=qdjzzh
胶州生活,http://A/PLTV/ku9/js/qilu.js?id=qdjzsh
李沧,http://A/PLTV/ku9/js/qilu.js?id=qdlc
崂山,http://A/PLTV/ku9/js/qilu.js?id=qdls
莱西,http://A/PLTV/ku9/js/qilu.js?id=qdlxzh
莱西生活,http://A/PLTV/ku9/js/qilu.js?id=qdlxsh
平度,http://A/PLTV/ku9/js/qilu.js?id=qdpdxw
平度生活服务,http://A/PLTV/ku9/js/qilu.js?id=qdpdsh

(临沂),#genre#
临沂,http://A/PLTV/ku9/js/qilu.js?id=lyzh
临沂公共,http://A/PLTV/ku9/js/qilu.js?id=lygg
临沂农科,http://A/PLTV/ku9/js/qilu.js?id=lynk
费县,http://A/PLTV/ku9/js/qilu.js?id=lyfxzh
费县生活,http://A/PLTV/ku9/js/qilu.js?id=lyfxsh
河东影视,http://A/PLTV/ku9/js/qilu.js?id=lyhdys
河东,http://A/PLTV/ku9/js/qilu.js?id=lyhdzh
莒南,http://A/PLTV/ku9/js/qilu.js?id=lyjnzh
莒南影视,http://A/PLTV/ku9/js/qilu.js?id=lyjnys
兰陵,http://A/PLTV/ku9/js/qilu.js?id=lyllzh
兰陵公共,http://A/PLTV/ku9/js/qilu.js?id=lyllgg
兰山,http://A/PLTV/ku9/js/qilu.js?id=lylszh
临沭,http://A/PLTV/ku9/js/qilu.js?id=lyls1
临沭生活,http://A/PLTV/ku9/js/qilu.js?id=lyls2
罗庄,http://A/PLTV/ku9/js/qilu.js?id=lylzzh
罗庄影视,http://A/PLTV/ku9/js/qilu.js?id=lylzys
蒙阴,http://A/PLTV/ku9/js/qilu.js?id=lymy1
蒙阴2,http://A/PLTV/ku9/js/qilu.js?id=lymy2
平邑,http://A/PLTV/ku9/js/qilu.js?id=lypyzh
平邑生活,http://A/PLTV/ku9/js/qilu.js?id=lypysh
郯城,http://A/PLTV/ku9/js/qilu.js?id=lytc1
郯城2,http://A/PLTV/ku9/js/qilu.js?id=lytc2
沂南,http://A/PLTV/ku9/js/qilu.js?id=lyynzh
沂南红色影视,http://A/PLTV/ku9/js/qilu.js?id=lyynys
沂水,http://A/PLTV/ku9/js/qilu.js?id=lyys1
沂水生活,http://A/PLTV/ku9/js/qilu.js?id=lyys2

(潍坊),#genre#
潍坊,http://A/PLTV/ku9/js/qilu.js?id=wfxwzh
潍坊生活,http://A/PLTV/ku9/js/qilu.js?id=wfsh
潍坊影视综艺,http://A/PLTV/ku9/js/qilu.js?id=wfyswy
潍坊科教文旅,http://A/PLTV/ku9/js/qilu.js?id=wfkjwl
潍坊高新区,http://A/PLTV/ku9/js/qilu.js?id=wfgxq
安丘,http://A/PLTV/ku9/js/qilu.js?id=wfaqzh
安丘民生,http://A/PLTV/ku9/js/qilu.js?id=wfaqms
滨海,http://A/PLTV/ku9/js/qilu.js?id=wfbhxw
昌乐,http://A/PLTV/ku9/js/qilu.js?id=wfclzh
昌邑,http://A/PLTV/ku9/js/qilu.js?id=wfcyzh
昌邑经济生活,http://A/PLTV/ku9/js/qilu.js?id=wfcyjj
坊子,http://A/PLTV/ku9/js/qilu.js?id=wffzxw
高密,http://A/PLTV/ku9/js/qilu.js?id=wfgmzh
高密党建农科,http://A/PLTV/ku9/js/qilu.js?id=wfgmdj
寒亭,http://A/PLTV/ku9/js/qilu.js?id=wfhtxw
奎文,http://A/PLTV/ku9/js/qilu.js?id=wfkwtv
临朐,http://A/PLTV/ku9/js/qilu.js?id=wflqxw
青州,http://A/PLTV/ku9/js/qilu.js?id=wfqzzh
青州文化旅游,http://A/PLTV/ku9/js/qilu.js?id=wfqzwh
潍城,http://A/PLTV/ku9/js/qilu.js?id=wfwc
诸城,http://A/PLTV/ku9/js/qilu.js?id=wfzcxw
诸城生活娱乐,http://A/PLTV/ku9/js/qilu.js?id=wfzcsh

(威海),#genre#
威海,http://A/PLTV/ku9/js/qilu.js?id=whxwzh
威海都市生活,http://A/PLTV/ku9/js/qilu.js?id=whdssh
威海海洋,http://A/PLTV/ku9/js/qilu.js?id=whhy
威海环翠综合,http://A/PLTV/ku9/js/qilu.js?id=whhczh
荣成,http://A/PLTV/ku9/js/qilu.js?id=whrczh
荣成生活,http://A/PLTV/ku9/js/qilu.js?id=whrcsh
乳山,http://A/PLTV/ku9/js/qilu.js?id=whrszh
乳山生活,http://A/PLTV/ku9/js/qilu.js?id=whrssh
文登,http://A/PLTV/ku9/js/qilu.js?id=whwd1
文登2,http://A/PLTV/ku9/js/qilu.js?id=whwd2

(东营),#genre#
东营,http://A/PLTV/ku9/js/qilu.js?id=dyxwzh
东营公共,http://A/PLTV/ku9/js/qilu.js?id=dygg
东营公共,http://A/PLTV/ku9/js/qilu.js?id=dygg2
东营科教,http://A/PLTV/ku9/js/qilu.js?id=dykj
东营区,http://A/PLTV/ku9/js/qilu.js?id=dydyqxw
东营区科教影视,http://A/PLTV/ku9/js/qilu.js?id=dydyqkj
广饶,http://A/PLTV/ku9/js/qilu.js?id=dygrzh
广饶科教文艺,http://A/PLTV/ku9/js/qilu.js?id=dygrkj
垦利,http://A/PLTV/ku9/js/qilu.js?id=dyklxw
利津,http://A/PLTV/ku9/js/qilu.js?id=dyljzh
利津文化生活,http://A/PLTV/ku9/js/qilu.js?id=dyljwh

(淄博),#genre#
博山,http://A/PLTV/ku9/js/qilu.js?id=zbbsxw
博山图文,http://A/PLTV/ku9/js/qilu.js?id=zbbstw
高青,http://A/PLTV/ku9/js/qilu.js?id=zbgqzh
高青影视,http://A/PLTV/ku9/js/qilu.js?id=zbgqys
桓台,http://A/PLTV/ku9/js/qilu.js?id=zbht1
桓台影视,http://A/PLTV/ku9/js/qilu.js?id=zbht2
临淄,http://A/PLTV/ku9/js/qilu.js?id=zblzxw
临淄生活服务,http://A/PLTV/ku9/js/qilu.js?id=zblzsh
沂源,http://A/PLTV/ku9/js/qilu.js?id=zbyyzh
沂源生活,http://A/PLTV/ku9/js/qilu.js?id=zbyysh
淄川,http://A/PLTV/ku9/js/qilu.js?id=zbzcxw
淄川生活,http://A/PLTV/ku9/js/qilu.js?id=zbzcsh
张店,http://A/PLTV/ku9/js/qilu.js?id=zbzd1
张店2,http://A/PLTV/ku9/js/qilu.js?id=zbzd2
周村,http://A/PLTV/ku9/js/qilu.js?id=zbzctv1
周村生活,http://A/PLTV/ku9/js/qilu.js?id=zbzctv2

(枣庄),#genre#
山亭,http://A/PLTV/ku9/js/qilu.js?id=zzstzh
枣庄市中,http://A/PLTV/ku9/js/qilu.js?id=zzszzh
台儿庄,http://A/PLTV/ku9/js/qilu.js?id=zztezxw
滕州,http://A/PLTV/ku9/js/qilu.js?id=zztzzh
滕州民生,http://A/PLTV/ku9/js/qilu.js?id=zztzms
薛城,http://A/PLTV/ku9/js/qilu.js?id=zzxcxw
峄城,http://A/PLTV/ku9/js/qilu.js?id=zzyczh

(滨州),#genre#
滨城,http://A/PLTV/ku9/js/qilu.js?id=bzbctv
博兴,http://A/PLTV/ku9/js/qilu.js?id=bzbxzh
博兴生活,http://A/PLTV/ku9/js/qilu.js?id=bzbxsh
惠民,http://A/PLTV/ku9/js/qilu.js?id=bzhmzh
惠民影视,http://A/PLTV/ku9/js/qilu.js?id=bzhmys
无棣,http://A/PLTV/ku9/js/qilu.js?id=bzwdzh
无棣综艺,http://A/PLTV/ku9/js/qilu.js?id=bzwdzy
阳信,http://A/PLTV/ku9/js/qilu.js?id=bzyxxw
沾化,http://A/PLTV/ku9/js/qilu.js?id=bzzhzh
沾化综艺,http://A/PLTV/ku9/js/qilu.js?id=bzzhzy
邹平,http://A/PLTV/ku9/js/qilu.js?id=bzzpzh
邹平民生,http://A/PLTV/ku9/js/qilu.js?id=bzzpms

(德州),#genre#
德州,http://A/PLTV/ku9/js/qilu.js?id=dzxwzh
德州经济生活,http://A/PLTV/ku9/js/qilu.js?id=dzjjsh
德州图文,http://A/PLTV/ku9/js/qilu.js?id=dztw
陵城,http://A/PLTV/ku9/js/qilu.js?id=dzlczh
乐陵,http://A/PLTV/ku9/js/qilu.js?id=dzllxw
乐陵城市生活,http://A/PLTV/ku9/js/qilu.js?id=dzllcs
临邑,http://A/PLTV/ku9/js/qilu.js?id=dzly1
临邑2,http://A/PLTV/ku9/js/qilu.js?id=dzly2
宁津,http://A/PLTV/ku9/js/qilu.js?id=dznjzh
平原,http://A/PLTV/ku9/js/qilu.js?id=dzpyzh
齐河,http://A/PLTV/ku9/js/qilu.js?id=dzqhzh
庆云,http://A/PLTV/ku9/js/qilu.js?id=dzqyzh
庆云生活,http://A/PLTV/ku9/js/qilu.js?id=dzqysh
